node_id,name,frequency,in_degree,out_degree
245,ENSG00000063854,0.198397,14,12
246,ENSG00000063978,0.198397,0,8
247,ENSG00000064042,0.228457,35,3
248,ENSG00000064313,0.246493,20,2
249,ENSG00000064393,0.182365,20,7
250,ENSG00000064490,0.134269,17,31
251,ENSG00000064545,0.138277,10,93
252,ENSG00000064547,0.148297,3,39
253,ENSG00000064607,0.116232,0,56
254,ENSG00000064666,0.128257,1,44
255,ENSG00000064933,0.158317,0,15
256,ENSG00000064961,0.372745,83,4
257,ENSG00000065000,0.112224,0,40
258,ENSG00000065029,0.202405,4,25
259,ENSG00000065054,0.250501,43,16
260,ENSG00000065057,0.308617,57,1
261,ENSG00000065060,0.230461,29,0
262,ENSG00000065154,0.527054,168,0
263,ENSG00000065243,0.150301,26,15
264,ENSG00000065268,0.158317,16,24
265,ENSG00000065308,0.178357,3,2
266,ENSG00000065357,0.160321,1,29
267,ENSG00000065361,0.234469,1,4
268,ENSG00000065427,0.106212,0,19
269,ENSG00000065491,0.140281,2,17
270,ENSG00000065600,0.132265,0,2
271,ENSG00000065609,0.164329,1,7
272,ENSG00000065833,0.346693,17,1
273,ENSG00000065882,0.326653,40,9
274,ENSG00000065911,0.136273,1,5
275,ENSG00000065970,0.114228,3,105
276,ENSG00000065989,0.354709,62,5
277,ENSG00000066027,0.148297,1,9
278,ENSG00000066084,0.122244,7,43
279,ENSG00000066117,0.132265,0,24
280,ENSG00000066185,0.148297,0,2
281,ENSG00000066455,0.114228,0,24
282,ENSG00000066468,0.156313,3,28
283,ENSG00000066827,0.222445,16,2
284,ENSG00000066855,0.168337,2,9
285,ENSG00000067082,0.150301,2,18
286,ENSG00000067141,0.104208,0,104
287,ENSG00000067177,0.164329,2,21
288,ENSG00000067208,0.138277,22,25
289,ENSG00000067369,0.174349,54,17
290,ENSG00000067445,0.210421,18,17
291,ENSG00000067704,0.260521,21,2
292,ENSG00000067829,0.188377,35,33
293,ENSG00000067900,0.106212,12,117
294,ENSG00000067955,0.124248,0,12
295,ENSG00000068028,0.124248,1,35
296,ENSG00000068120,0.176353,24,27
297,ENSG00000068305,0.230461,86,15
298,ENSG00000068308,0.166333,3,5
299,ENSG00000068366,0.156313,18,50
300,ENSG00000068394,0.136273,2,28
301,ENSG00000068400,0.174349,1,13
302,ENSG00000068615,0.158317,2,18
303,ENSG00000068650,0.210421,16,7
304,ENSG00000068654,0.206413,21,7
305,ENSG00000068745,0.160321,0,32
306,ENSG00000068903,0.128257,0,17
307,ENSG00000069020,0.146293,6,50
308,ENSG00000069188,0.164329,0,5
309,ENSG00000069431,0.172345,31,34
310,ENSG00000069667,0.172345,29,16
311,ENSG00000069702,0.292585,82,11
312,ENSG00000069712,0.160321,16,19
313,ENSG00000069956,0.126253,4,27
314,ENSG00000069966,0.316633,35,3
315,ENSG00000070061,0.250501,36,4
316,ENSG00000070193,0.262525,51,10
317,ENSG00000070214,0.276553,60,8
318,ENSG00000070423,0.340681,47,2
319,ENSG00000070501,0.132265,0,5
320,ENSG00000070601,0.170341,0,3
321,ENSG00000070610,0.158317,0,27
322,ENSG00000070614,0.172345,4,8
323,ENSG00000070669,0.468938,149,0
324,ENSG00000070718,0.11022,0,21
325,ENSG00000070778,0.156313,19,32
326,ENSG00000071073,0.12024,0,6
327,ENSG00000071127,0.156313,5,31
328,ENSG00000071537,0.258517,17,3
329,ENSG00000071553,0.172345,0,6
330,ENSG00000071564,0.128257,0,22
331,ENSG00000071626,0.318637,64,4
332,ENSG00000071655,0.176353,35,43
333,ENSG00000071794,0.1002,0,39
334,ENSG00000071859,0.334669,65,8
335,ENSG00000071889,0.138277,10,78
336,ENSG00000071967,0.188377,5,22
337,ENSG00000071994,0.166333,2,10
338,ENSG00000072135,0.346693,1,0
339,ENSG00000072195,0.192385,11,14
340,ENSG00000072201,0.174349,0,17
341,ENSG00000072364,0.172345,67,29
342,ENSG00000072506,0.178357,39,20
343,ENSG00000072518,0.160321,0,35
344,ENSG00000072682,0.272545,14,2
345,ENSG00000072756,0.136273,1,10
346,ENSG00000073146,0.326653,20,1
347,ENSG00000073150,0.162325,0,32
348,ENSG00000073169,0.250501,60,22
349,ENSG00000073417,0.126253,7,99
350,ENSG00000073536,0.166333,1,41
351,ENSG00000073614,0.140281,27,24
352,ENSG00000073711,0.47495,76,0
353,ENSG00000073756,0.224449,8,6
354,ENSG00000073969,0.274549,28,3
355,ENSG00000074071,0.428858,72,3
356,ENSG00000074211,0.154309,0,0
357,ENSG00000074370,0.180361,2,14
358,ENSG00000074527,0.316633,64,6
359,ENSG00000074582,0.386774,127,5
360,ENSG00000074603,0.256513,95,5
361,ENSG00000074695,0.102204,0,21
362,ENSG00000074842,0.202405,38,15
363,ENSG00000074855,0.232465,22,6
364,ENSG00000075292,0.126253,2,16
365,ENSG00000075336,0.250501,6,0
366,ENSG00000075415,0.166333,2,9
367,ENSG00000075420,0.252505,78,6
368,ENSG00000075624,0.1002,0,46
369,ENSG00000075651,0.368737,61,1
370,ENSG00000075711,0.124248,28,26
371,ENSG00000075826,0.140281,2,44
372,ENSG00000075914,0.108216,4,84
373,ENSG00000076043,0.168337,0,16
374,ENSG00000076053,0.122244,0,2
375,ENSG00000076067,0.158317,15,34
376,ENSG00000076108,0.108216,1,40
377,ENSG00000076201,0.216433,5,1
378,ENSG00000076344,0.432866,104,0
379,ENSG00000076604,0.122244,0,52
380,ENSG00000076685,0.108216,13,75
381,ENSG00000076770,0.332665,31,0
382,ENSG00000076826,0.322645,35,2
383,ENSG00000076944,0.282565,48,8
384,ENSG00000077063,0.318637,55,7
385,ENSG00000077150,0.222445,0,3
386,ENSG00000077238,0.176353,2,22
387,ENSG00000077274,0.392786,59,0
388,ENSG00000077312,0.124248,17,80
389,ENSG00000077348,0.11022,1,191
390,ENSG00000077454,0.142285,0,9
391,ENSG00000077463,0.160321,26,38
392,ENSG00000077585,0.182365,3,1
393,ENSG00000077684,0.250501,3,1
394,ENSG00000078018,0.114228,0,21
395,ENSG00000078070,0.258517,5,0
396,ENSG00000078124,0.126253,0,12
397,ENSG00000078142,0.138277,7,15
398,ENSG00000078246,0.108216,6,161
399,ENSG00000078269,0.198397,4,6
400,ENSG00000078304,0.312625,55,5
401,ENSG00000078401,0.192385,3,10
402,ENSG00000078596,0.204409,8,12
403,ENSG00000078618,0.492986,128,0
404,ENSG00000078674,0.244489,39,12
405,ENSG00000078725,0.274549,7,0
406,ENSG00000078747,0.138277,45,53
407,ENSG00000078808,0.258517,4,3
408,ENSG00000078902,0.118236,0,16
409,ENSG00000079134,0.202405,16,5
410,ENSG00000079215,0.228457,19,11
411,ENSG00000079308,0.276553,59,14
412,ENSG00000079819,0.240481,41,9
413,ENSG00000079974,0.154309,2,18
414,ENSG00000079999,0.140281,3,117
415,ENSG00000080189,0.146293,7,48
416,ENSG00000080200,0.156313,46,29
417,ENSG00000080224,0.140281,2,10
418,ENSG00000080298,0.112224,0,28
419,ENSG00000080493,0.122244,0,16
420,ENSG00000080503,0.170341,41,6
421,ENSG00000080561,0.12024,18,51
422,ENSG00000080608,0.144289,2,19
423,ENSG00000080709,0.202405,1,10
424,ENSG00000080823,0.182365,2,29
425,ENSG00000081019,0.140281,36,17
426,ENSG00000081026,0.124248,0,13
427,ENSG00000081059,0.162325,7,19
428,ENSG00000081087,0.11022,0,128
429,ENSG00000081177,0.292585,13,0
430,ENSG00000081277,0.128257,0,17
431,ENSG00000081377,0.230461,19,6
432,ENSG00000081692,0.330661,56,1
433,ENSG00000081791,0.178357,1,19
434,ENSG00000081803,0.274549,6,0
435,ENSG00000082014,0.308617,40,11
436,ENSG00000082258,0.126253,14,59
437,ENSG00000082397,0.316633,36,6
438,ENSG00000082438,0.104208,0,7
439,ENSG00000082458,0.134269,0,16
440,ENSG00000082512,0.166333,2,24
441,ENSG00000082805,0.116232,13,68
442,ENSG00000082898,0.114228,0,45
443,ENSG00000083097,0.174349,40,16
444,ENSG00000083123,0.142285,0,12
445,ENSG00000083168,0.124248,26,65
446,ENSG00000083223,0.462926,150,0
447,ENSG00000083307,0.116232,1,11
448,ENSG00000083312,0.132265,14,15
449,ENSG00000083454,0.158317,0,8
450,ENSG00000083520,0.234469,27,4
451,ENSG00000083535,0.172345,19,9
452,ENSG00000083799,0.194389,54,13
453,ENSG00000083807,0.264529,74,5
454,ENSG00000083838,0.370741,79,2
455,ENSG00000083857,0.180361,13,9
456,ENSG00000084073,0.176353,0,17
457,ENSG00000084093,0.108216,18,50
458,ENSG00000084207,0.292585,46,17
459,ENSG00000084234,0.106212,0,18
460,ENSG00000084463,0.134269,0,17
461,ENSG00000084623,0.186373,7,17
462,ENSG00000084652,0.168337,0,3
463,ENSG00000084693,0.114228,0,18
464,ENSG00000084731,0.144289,2,43
465,ENSG00000084774,0.180361,3,14
466,ENSG00000085063,0.102204,0,107
467,ENSG00000085224,0.136273,31,25
468,ENSG00000085365,0.162325,16,3
469,ENSG00000085377,0.194389,5,6
470,ENSG00000085382,0.130261,18,49
471,ENSG00000085433,0.140281,34,43
472,ENSG00000085449,0.106212,0,37
473,ENSG00000085465,0.130261,0,23
474,ENSG00000085491,0.204409,39,15
475,ENSG00000085644,0.148297,0,8
476,ENSG00000085733,0.246493,1,1
477,ENSG00000085760,0.144289,1,19
478,ENSG00000085831,0.104208,0,2
479,ENSG00000085871,0.248497,18,1
480,ENSG00000085872,0.158317,1,23
481,ENSG00000085982,0.148297,0,6
482,ENSG00000085998,0.104208,0,51
483,ENSG00000086015,0.312625,22,2
484,ENSG00000086232,0.430862,101,0
485,ENSG00000086504,0.140281,28,28
486,ENSG00000086506,0.156313,0,9
487,ENSG00000086712,0.146293,28,18
488,ENSG00000086717,0.298597,2,0
489,ENSG00000086730,0.184369,1,17
490,ENSG00000086827,0.118236,0,22
491,ENSG00000086991,0.166333,3,1
492,ENSG00000087086,0.170341,25,4
493,ENSG00000087088,0.288577,40,3
494,ENSG00000087191,0.308617,68,5
495,ENSG00000087245,0.134269,6,27
496,ENSG00000087253,0.276553,52,15
497,ENSG00000087258,0.194389,21,18
498,ENSG00000087299,0.200401,31,10
499,ENSG00000087302,0.208417,27,7
500,ENSG00000087338,0.108216,0,35
501,ENSG00000087365,0.114228,0,30
502,ENSG00000088035,0.270541,0,3
503,ENSG00000088038,0.146293,0,58
504,ENSG00000088205,0.148297,19,41
505,ENSG00000088367,0.126253,5,111
506,ENSG00000088448,0.182365,8,16
507,ENSG00000088543,0.178357,0,29
508,ENSG00000088727,0.412826,99,0
509,ENSG00000088826,0.106212,0,51
510,ENSG00000088854,0.210421,69,22
511,ENSG00000088881,0.122244,0,35
512,ENSG00000088888,0.130261,1,21
513,ENSG00000089009,0.212425,25,5
514,ENSG00000089022,0.226453,7,6
515,ENSG00000089053,0.308617,11,10
516,ENSG00000089060,0.264529,0,1
517,ENSG00000089127,0.102204,0,11
518,ENSG00000089154,0.214429,21,5
519,ENSG00000089157,0.160321,7,10
520,ENSG00000089199,0.246493,1,2
521,ENSG00000089220,0.108216,0,26
522,ENSG00000089248,0.102204,0,106
523,ENSG00000089280,0.214429,7,6
524,ENSG00000089351,0.226453,2,16
525,ENSG00000089682,0.152305,42,22
526,ENSG00000089723,0.380762,57,1
527,ENSG00000089876,0.238477,2,4
528,ENSG00000090061,0.130261,47,25
529,ENSG00000090097,0.118236,1,45
530,ENSG00000090238,0.310621,4,0
531,ENSG00000090263,0.132265,1,58
532,ENSG00000090316,0.264529,10,2
533,ENSG00000090372,0.136273,0,40
534,ENSG00000090376,0.264529,63,11
535,ENSG00000090530,0.184369,6,26
536,ENSG00000090539,0.156313,0,2
537,ENSG00000090565,0.348697,68,2
538,ENSG00000090581,0.106212,0,86
539,ENSG00000090615,0.234469,9,3
540,ENSG00000090621,0.132265,0,22
541,ENSG00000090661,0.372745,69,0
542,ENSG00000090674,0.12024,0,47
543,ENSG00000090686,0.114228,0,23
544,ENSG00000090776,0.382766,62,3
545,ENSG00000090861,0.172345,0,6
546,ENSG00000090932,0.332665,14,0
547,ENSG00000090971,0.118236,3,69
548,ENSG00000091127,0.148297,2,19
549,ENSG00000091136,0.162325,6,45
550,ENSG00000091157,0.208417,47,10
551,ENSG00000091181,0.164329,0,0
552,ENSG00000091428,0.134269,0,5
553,ENSG00000091436,0.132265,5,52
554,ENSG00000091490,0.166333,2,6
555,ENSG00000091527,0.11022,0,2
556,ENSG00000091583,0.11022,0,5
557,ENSG00000091592,0.206413,11,8
558,ENSG00000091651,0.130261,2,28
559,ENSG00000091972,0.42485,30,1
560,ENSG00000092096,0.128257,1,43
561,ENSG00000092200,0.286573,14,1
562,ENSG00000092421,0.226453,0,1
563,ENSG00000092621,0.140281,0,1
564,ENSG00000092871,0.188377,12,9
565,ENSG00000092964,0.184369,16,16
566,ENSG00000092978,0.118236,1,21
567,ENSG00000093010,0.102204,0,72
568,ENSG00000093183,0.114228,0,35
569,ENSG00000093217,0.300601,28,0
570,ENSG00000094631,0.116232,0,15
571,ENSG00000094914,0.264529,36,16
572,ENSG00000095002,0.182365,31,8
573,ENSG00000095015,0.142285,12,27
574,ENSG00000095059,0.364729,132,3
575,ENSG00000095139,0.128257,12,17
576,ENSG00000095203,0.192385,5,11
577,ENSG00000095209,0.126253,0,58
578,ENSG00000095303,0.420842,50,2
579,ENSG00000095321,0.236473,0,1
580,ENSG00000095380,0.136273,1,26
581,ENSG00000095627,0.160321,3,9
582,ENSG00000095906,0.222445,52,28
583,ENSG00000095970,0.138277,1,3
584,ENSG00000096968,0.216433,50,16
585,ENSG00000097033,0.583166,100,0
586,ENSG00000099256,0.170341,13,32
587,ENSG00000099284,0.276553,11,2
588,ENSG00000099290,0.240481,6,1
589,ENSG00000099326,0.106212,0,146
590,ENSG00000099330,0.264529,35,2
591,ENSG00000099364,0.130261,1,45
592,ENSG00000099377,0.350701,28,0
593,ENSG00000099385,0.138277,3,14
594,ENSG00000099617,0.304609,8,0
595,ENSG00000099622,0.188377,12,10
596,ENSG00000099624,0.200401,62,22
597,ENSG00000099783,0.112224,1,21
598,ENSG00000099795,0.114228,31,38
599,ENSG00000099800,0.198397,32,32
600,ENSG00000099804,0.174349,34,18
601,ENSG00000099817,0.102204,2,134
602,ENSG00000099821,0.272545,48,11
603,ENSG00000099822,0.158317,0,10
604,ENSG00000099840,0.398798,89,1
605,ENSG00000099849,0.190381,31,48
606,ENSG00000099866,0.386774,70,0
607,ENSG00000099889,0.324649,36,4
608,ENSG00000099899,0.322645,58,7
609,ENSG00000099901,0.144289,8,27
610,ENSG00000099910,0.104208,1,116
611,ENSG00000099940,0.128257,0,4
612,ENSG00000099949,0.320641,18,1
613,ENSG00000099968,0.156313,0,15
614,ENSG00000099974,0.138277,0,19
615,ENSG00000099977,0.158317,7,37
616,ENSG00000099999,0.45491,151,0
617,ENSG00000100014,0.106212,0,14
618,ENSG00000100027,0.244489,7,2
619,ENSG00000100028,0.12024,1,82
620,ENSG00000100029,0.250501,35,4
621,ENSG00000100075,0.224449,55,22
622,ENSG00000100083,0.204409,17,27
623,ENSG00000100084,0.292585,7,1
624,ENSG00000100097,0.106212,0,50
625,ENSG00000100105,0.200401,0,12
626,ENSG00000100116,0.158317,14,38
627,ENSG00000100124,0.212425,44,11
628,ENSG00000100138,0.144289,25,39
629,ENSG00000100156,0.238477,6,15
630,ENSG00000100167,0.108216,0,25
631,ENSG00000100181,0.388778,25,0
632,ENSG00000100211,0.106212,1,102
633,ENSG00000100228,0.128257,0,15
634,ENSG00000100243,0.252505,16,6
635,ENSG00000100246,0.164329,1,20
636,ENSG00000100253,0.354709,75,1
637,ENSG00000100263,0.222445,26,10
638,ENSG00000100284,0.132265,7,74
639,ENSG00000100290,0.244489,34,9
640,ENSG00000100294,0.254509,60,13
641,ENSG00000100299,0.180361,4,19
642,ENSG00000100300,0.154309,25,22
643,ENSG00000100302,0.11022,0,61
644,ENSG00000100304,0.182365,0,22
645,ENSG00000100316,0.160321,13,9
646,ENSG00000100320,0.186373,50,10
647,ENSG00000100335,0.204409,8,8
648,ENSG00000100336,0.114228,0,31
649,ENSG00000100348,0.130261,21,50
650,ENSG00000100350,0.244489,0,9
651,ENSG00000100353,0.150301,3,10
652,ENSG00000100359,0.350701,51,3
653,ENSG00000100360,0.364729,83,3
654,ENSG00000100376,0.146293,0,2
655,ENSG00000100379,0.240481,20,11
656,ENSG00000100395,0.122244,0,22
657,ENSG00000100401,0.172345,33,31
658,ENSG00000100403,0.208417,19,9
